Component,Origin,License,Copyright
@babel/plugin-transform-runtime,dev,MIT,"Copyright (c) 2014-present Sebastian McKenzie and other contributors"
@types/jest,dev,MIT,"Copyrights are respective of each contributor listed at the beginning of each definition file."
@typescript-eslint/eslint-plugin,dev,bsd-2-clause,"Copyright JS Foundation and other contributors, https://js.foundation"
@typescript-eslint/parser,dev,bsd-2-clause,"Copyright JS Foundation and other contributors, https://js.foundation"
@typescript-eslint/typescript-estree,dev,bsd-2-clause,"Copyright JS Foundation and other contributors, https://js.foundation"
eslint,dev,MIT,"Copyright OpenJS Foundation and other contributors, <www.openjsf.org>"
eslint-config-prettier,dev,MIT,"Copyright (c) 2017, 2018, 2019, 2020, 2021, 2022 Simon Lydell and contributors"
expo-module-scripts,dev,MIT,"Copyright (c) 2015-present 650 Industries, Inc. (aka Expo)"
jest,dev,MIT,"Copyright (c) Facebook, Inc. and its affiliates."
prettier,dev,MIT,"Copyright © James Long and contributors"
jest-watch-typeahead,dev,MIT,"Copyright (c) 2018 Rogelio Guzman"
eslint-plugin-prettier,dev,MIT,"Copyright © 2017 Andres Suarez and Teddy Katz"
